Damage_Type,Aligner_Name,Subsampling_Rate,TP,FP,TN,FN,TP_MQ30,FP_MQ30,TN_MQ30,FN_MQ30
none,shrimp,0.9,3599,1010,11587,6,3599,1010,11587,6
single,mem,0.9,3609,342,12253,1,3609,314,12253,1
single,bowtie2,0.8,3230,108,11176,16,3228,67,11176,16
single,aln,0.8,3230,134,11150,16,3230,105,11150,16
dhigh,aln,0.8,3223,141,11147,20,3223,113,11147,20
dhigh,bowtie2,0.8,3231,114,11173,12,3219,63,11173,12
dhigh,aln_anc,0.8,3223,176,11112,20,3223,132,11112,20
single,bowtie2,0.9,3591,123,12472,16,3587,79,12472,16
single,mem,0.8,3248,304,10980,1,3248,281,10980,1
none,shrimp,0.8,3239,903,10384,5,3239,903,10384,5
dhigh,aln_anc,0.9,3583,196,12402,21,3583,148,12402,21
dhigh,mem,0.8,3243,329,10959,3,3243,305,10959,3
single,aln_anc,0.8,3230,164,11120,16,3230,122,11120,16
dhigh,bowtie2,0.9,3591,138,12460,13,3579,67,12460,13
dhigh,aln,0.9,3583,157,12441,21,3583,127,12441,21
dmid,aln,0.9,3589,139,12457,15,3589,106,12457,15
dmid,mem,0.8,3247,288,10997,0,3247,267,10997,0
dhigh,shrimp,0.9,3596,1008,11590,8,3596,1008,11590,8
none,mem,0.9,3607,353,12244,2,3607,324,12244,2
none,bowtie2,0.8,3228,112,11174,16,3220,60,11174,16
dmid,aln_anc,0.8,3231,162,11123,12,3231,115,11123,12
none,aln,0.8,3222,133,11154,22,3222,110,11154,22
none,aln_anc,0.9,3583,191,12406,22,3583,146,12406,22
dhigh,shrimp,0.8,3236,908,10380,7,3236,908,10380,7
dmid,mem,0.9,3608,320,12276,0,3608,299,12276,0
none,aln_anc,0.8,3224,168,11119,20,3224,127,11119,20
dmid,bowtie2,0.8,3234,90,11195,9,3226,56,11195,9
dmid,aln,0.8,3231,128,11157,12,3231,97,11157,12
none,aln,0.9,3581,152,12445,24,3581,124,12445,24
none,bowtie2,0.9,3588,117,12480,17,3582,64,12480,17
