N	L	delta	k	W	Total minimizer seeds	Total rymer seeds	Minimizer precision	Rymer precision	Correct Rescue Rate	Uniqueness	Minimizer sketch
1000	50	0.3	15	20	5096	4260	0.419	1.000	0.564	0.836	Naive
1000	50	0.5	15	20	5096	4260	0.136	1.000	0.565	0.836	Naive
1000	50	0.01	15	20	5096	4260	0.999	1.000	0.574	0.836	Naive
1000	50	0.7	15	20	5096	4260	0.041	1.000	0.574	0.836	Naive
1000	50	0.01	15	20	5104	4268	0.993	1.000	0.570	0.836	Unique
1000	50	0.3	10	20	3024	496	0.735	1.000	0.046	0.164	Naive
2000	50	0.9	15	20	5096	4260	0.015	1.000	0.568	0.836	Naive
2000	50	0.3	15	20	5096	4260	0.412	1.000	0.573	0.836	Naive
1000	50	0.9	10	20	3024	496	0.448	1.000	0.047	0.164	Naive
2000	50	0.3	15	20	5104	4268	0.392	1.000	0.579	0.836	Unique
2000	50	0.01	15	20	5096	4260	0.998	1.000	0.572	0.836	Naive
1000	50	0.9	15	20	5096	4260	0.017	1.000	0.570	0.836	Naive
2000	50	0.7	15	20	5096	4260	0.035	1.000	0.565	0.836	Naive
1000	100	0.01	15	20	5096	4260	1.000	1.000	0.567	0.836	Naive
2000	50	0.01	15	20	5104	4268	0.995	1.000	0.569	0.836	Unique
1000	50	0.01	10	20	3024	496	0.985	1.000	0.046	0.164	Naive
1000	50	0.5	10	20	3091	510	0.495	1.000	0.045	0.165	Unique
2000	50	0.5	15	20	5096	4260	0.129	1.000	0.565	0.836	Naive
1000	50	0.9	15	20	5104	4268	0.017	1.000	0.584	0.836	Unique
1000	50	0.7	10	20	3024	496	0.407	1.000	0.048	0.164	Naive
1000	100	0.3	15	20	5096	4260	0.695	1.000	0.560	0.836	Naive
1000	100	0.3	15	20	5104	4268	0.691	1.000	0.562	0.836	Unique
2000	50	0.01	10	20	3024	496	0.987	1.000	0.047	0.164	Naive
2000	50	0.7	10	20	3024	496	0.423	1.000	0.047	0.164	Naive
1000	50	0.3	10	20	3091	510	0.710	1.000	0.047	0.165	Unique
2000	100	0.3	15	20	5104	4268	0.716	1.000	0.558	0.836	Unique
2000	100	0.01	15	20	5104	4268	1.000	1.000	0.562	0.836	Unique
2000	50	0.5	15	20	5104	4268	0.117	1.000	0.571	0.836	Unique
